order_id,customer_id,order_date,channel,currency,coupon_code,order_status
39,4432,2025-08-26,Online,GBP,WELCOME,Cancelled
40,726,2023-10-14,Online,GBP,SAVE10,Cancelled
41,4597,2024-01-26,Mobile,USD,save10,Completed
42,1577,2025-07-31,Mobile,GBP,,Completed
43,4672,2024-10-02,Mobile,USD,Discount20,Shipped
44,4118,2025-04-15,Online,USD,save10,Pending
45,156,2024-09-28,Retail,USD,DISCOUNT20,Shipped
46,694,2025-07-27,Mobile,GBP,SUMMER,Shipped
47,4825,2023-12-04,Online,EUR,Discount20,Completed
48,2785,2024-01-20,Retail,USD,WELCOME,Completed
49,4325,2024-02-28,Retail,EUR,SUMMER,Completed
50,940,2024-10-14,Online,GBP,DISCOUNT20,Cancelled
51,1180,2025-08-15,Online,EUR,Discount20,Completed
52,1264,2023-12-19,Retail,EUR,save10,Pending
53,483,2025-01-21,Mobile,EUR,DISCOUNT20,Completed
54,480,2023-12-04,Retail,EUR,SAVE10,Cancelled
55,1168,2024-11-07,Retail,EUR,SUMMER,Shipped
56,991,2023-09-24,Online,USD,DISCOUNT20,Pending
57,4039,2023-11-27,Mobile,GBP,WELCOME,Completed
58,2207,2025-02-20,Online,EUR,WELCOME,Shipped
59,537,2024-07-08,Retail,USD,WELCOME,Pending
60,153,2024-01-17,Retail,GBP,,Completed
61,2018,2025-09-08,Mobile,GBP,Discount20,Pending
62,2496,2024-08-23,Mobile,EUR,WELCOME,Completed
63,4100,2025-03-19,Online,USD,SUMMER,Pending
64,2009,2024-06-25,Mobile,EUR,,Shipped
65,343,2024-06-07,Online,EUR,Discount20,Cancelled
66,1372,2025-04-29,Online,USD,WELCOME,Cancelled
67,4898,2024-03-04,Retail,GBP,WELCOME,Cancelled
68,1743,2025-06-16,Mobile,GBP,SUMMER,Completed
69,1323,2025-01-20,Mobile,GBP,,Completed
70,2463,2025-04-08,Online,EUR,save10,Completed
71,1145,2024-05-02,Mobile,GBP,SUMMER,Shipped
72,1728,2024-09-19,Mobile,GBP,Discount20,Cancelled
73,2807,2023-11-24,Mobile,EUR,Discount20,Shipped
74,2237,2023-11-14,Online,GBP,SUMMER,Cancelled
75,1726,2024-12-06,Retail,GBP,SUMMER,Completed
76,1096,2024-02-21,Mobile,USD,,Shipped
77,36,2024-09-11,Online,GBP,DISCOUNT20,Shipped
78,4554,2024-12-11,Mobile,GBP,WELCOME,Shipped
79,4409,2023-12-17,Online,GBP,save10,Completed
80,4413,2025-01-09,Online,GBP,WELCOME,Completed
81,2892,2024-03-16,Retail,GBP,SUMMER,Shipped
82,1452,2025-06-22,Mobile,USD,SAVE10,Shipped
83,3035,2025-03-04,Online,EUR,SAVE10,Pending
84,163,2023-09-29,Retail,GBP,save10,Cancelled
85,1569,2025-06-20,Online,GBP,save10,Cancelled
86,1812,2024-01-23,Online,EUR,SUMMER,Completed
87,2300,2024-03-12,Retail,GBP,save10,Pending
88,59,2023-12-09,Online,GBP,WELCOME,Completed
89,2273,2024-04-20,Mobile,GBP,WELCOME,Pending
90,4521,2024-01-23,Online,GBP,save10,Pending
91,536,2025-07-01,Mobile,USD,save10,Completed
92,1044,2025-02-06,Retail,GBP,Discount20,Pending
93,4286,2023-10-09,Mobile,EUR,DISCOUNT20,Completed
94,4366,2024-06-12,Mobile,EUR,save10,Shipped
95,17,2024-07-06,Retail,GBP,save10,Completed
96,2647,2024-06-25,Retail,EUR,SUMMER,Completed
97,4246,2025-03-10,Retail,EUR,SUMMER,Completed
98,1840,2024-06-27,Online,EUR,WELCOME,Shipped
99,2591,2024-08-26,Online,EUR,DISCOUNT20,Cancelled
100,671,2023-11-18,Mobile,USD,save10,Pending
101,3472,2024-11-18,Online,USD,DISCOUNT20,Pending
102,2698,2024-12-24,Retail,USD,save10,Completed
103,229,2025-03-16,Retail,EUR,Discount20,Completed
104,4855,2024-10-13,Mobile,EUR,Discount20,Cancelled
105,2025,2025-03-26,Online,EUR,DISCOUNT20,Cancelled
106,446,2024-03-10,Retail,GBP,Discount20,Pending
107,598,2024-07-02,Mobile,GBP,WELCOME,Completed
108,3658,2025-06-28,Mobile,USD,SAVE10,Completed
109,274,2024-12-29,Retail,EUR,Discount20,Completed
110,1045,2025-07-26,Online,EUR,SAVE10,Cancelled
111,3538,2024-02-19,Online,USD,save10,Completed
112,4582,2025-08-26,Online,EUR,Discount20,Shipped
113,3291,2025-01-21,Online,GBP,Discount20,Shipped
114,1910,2025-07-24,Mobile,GBP,,Completed
115,3715,2025-07-12,Retail,EUR,Discount20,Shipped
116,830,2025-07-20,Retail,GBP,save10,Completed
117,3720,2025-08-19,Mobile,EUR,,Pending
118,885,2024-05-01,Online,USD,,Completed
119,4857,2025-02-02,Online,GBP,DISCOUNT20,Cancelled
120,2912,2025-06-14,Retail,EUR,save10,Shipped
121,1524,2024-03-06,Online,USD,Discount20,Completed
122,496,2024-11-25,Online,EUR,,Shipped
123,4204,2024-06-20,Mobile,EUR,SUMMER,Pending
124,1208,2024-10-21,Retail,EUR,,Cancelled
125,2385,2023-09-12,Retail,USD,,Pending
126,470,2023-12-07,Online,GBP,Discount20,Completed
127,3458,2024-07-06,Retail,USD,DISCOUNT20,Pending
128,561,2024-12-07,Retail,USD,save10,Shipped
129,3829,2025-03-19,Mobile,GBP,SUMMER,Cancelled
130,2455,2023-11-21,Retail,EUR,DISCOUNT20,Completed
131,3722,2025-09-03,Online,EUR,DISCOUNT20,Completed
132,1828,2025-05-21,Mobile,USD,WELCOME,Pending
133,1959,2024-01-05,Retail,GBP,Discount20,Cancelled
134,3080,2025-06-26,Online,EUR,DISCOUNT20,Completed
135,2973,2024-06-12,Online,USD,SUMMER,Completed
136,4545,2024-12-20,Online,USD,SUMMER,Shipped
137,1593,2024-11-25,Mobile,GBP,Discount20,Cancelled
138,360,2025-07-08,Online,USD,DISCOUNT20,Cancelled
139,1427,2024-10-30,Online,EUR,save10,Pending
140,2784,2023-11-10,Mobile,USD,DISCOUNT20,Pending
141,177,2025-08-29,Online,EUR,SAVE10,Completed
142,1125,2024-01-13,Retail,GBP,Discount20,Completed
143,2773,2025-05-12,Online,EUR,WELCOME,Pending
144,3029,2024-09-22,Retail,GBP,DISCOUNT20,Shipped
145,536,2024-07-02,Online,USD,DISCOUNT20,Pending
146,1571,2023-11-04,Mobile,EUR,save10,Cancelled
147,2605,2024-06-10,Mobile,EUR,save10,Pending
148,379,2024-02-08,Mobile,GBP,DISCOUNT20,Cancelled
149,1218,2024-06-16,Retail,USD,SAVE10,Cancelled
150,1036,2025-08-26,Mobile,GBP,WELCOME,Pending
151,667,2025-01-26,Retail,GBP,,Completed
152,1372,2024-02-28,Mobile,EUR,Discount20,Cancelled
153,4085,2025-05-27,Mobile,EUR,DISCOUNT20,Cancelled
154,3063,2025-08-15,Mobile,GBP,WELCOME,Shipped
155,3882,2025-08-20,Retail,GBP,WELCOME,Completed
156,1698,2025-09-03,Online,USD,WELCOME,Pending
157,3244,2025-06-23,Online,EUR,WELCOME,Shipped
158,4681,2025-02-26,Online,EUR,SUMMER,Completed
159,1101,2024-09-05,Online,EUR,WELCOME,Cancelled
160,1886,2024-07-29,Mobile,USD,WELCOME,Cancelled
161,3491,2025-07-15,Retail,EUR,WELCOME,Shipped
162,3011,2025-02-11,Retail,EUR,SUMMER,Shipped
163,203,2024-03-19,Online,EUR,DISCOUNT20,Cancelled
164,622,2023-12-03,Retail,USD,SUMMER,Completed
165,2265,2024-09-14,Online,USD,SAVE10,Completed
166,2952,2024-10-14,Online,GBP,DISCOUNT20,Cancelled
167,1611,2024-02-03,Mobile,EUR,SUMMER,Cancelled
168,2249,2025-01-26,Online,GBP,,Pending
169,4450,2024-04-22,Retail,USD,Discount20,Cancelled
170,2309,2023-11-14,Retail,EUR,WELCOME,Completed
171,3867,2024-06-16,Mobile,GBP,Discount20,Pending
172,3257,2024-09-18,Online,USD,save10,Pending
173,3887,2024-03-28,Online,GBP,,Shipped
174,3780,2023-11-04,Retail,USD,SUMMER,Pending
175,3513,2025-01-29,Mobile,EUR,DISCOUNT20,Shipped
176,3687,2024-10-10,Mobile,USD,SUMMER,Pending
177,4731,2025-04-16,Online,EUR,save10,Completed
178,4095,2024-10-05,Mobile,EUR,SUMMER,Pending
179,3434,2025-05-11,Retail,GBP,Discount20,Shipped
180,4405,2025-05-03,Retail,EUR,,Completed
181,4650,2025-01-14,Online,USD,DISCOUNT20,Cancelled
182,4655,2024-11-24,Mobile,GBP,,Shipped
183,3124,2025-02-18,Online,EUR,SAVE10,Shipped
184,1543,2024-07-31,Retail,USD,SUMMER,Shipped
185,2496,2025-09-03,Online,USD,SAVE10,Pending
186,263,2025-01-19,Mobile,GBP,WELCOME,Completed
187,1530,2024-06-17,Online,USD,WELCOME,Cancelled
188,1687,2025-02-20,Online,EUR,save10,Completed
189,3725,2025-08-06,Online,EUR,,Completed
190,1408,2024-04-22,Retail,EUR,WELCOME,Pending
191,908,2024-12-26,Online,GBP,WELCOME,Shipped
192,564,2024-06-27,Retail,USD,DISCOUNT20,Pending
193,2538,2024-03-06,Retail,GBP,save10,Shipped
194,1301,2024-10-06,Mobile,GBP,SUMMER,Pending
195,4117,2024-02-10,Mobile,GBP,WELCOME,Cancelled
196,1653,2024-12-16,Online,USD,WELCOME,Completed
197,3271,2023-09-27,Mobile,USD,,Cancelled
198,4664,2024-10-08,Retail,EUR,WELCOME,Completed
199,747,2024-04-19,Retail,GBP,WELCOME,Cancelled
200,2437,2024-06-03,Retail,GBP,Discount20,Pending
201,3401,2024-04-28,Online,USD,,Shipped
202,3751,2024-06-12,Retail,GBP,DISCOUNT20,Completed
203,3224,2023-10-11,Mobile,USD,DISCOUNT20,Pending
204,2243,2025-08-08,Mobile,GBP,SUMMER,Completed
205,1780,2023-11-13,Retail,EUR,Discount20,Completed
206,3021,2023-10-02,Online,USD,,Cancelled
207,3360,2024-03-02,Retail,USD,SUMMER,Pending
208,4146,2025-07-11,Online,EUR,SAVE10,Completed
209,3784,2025-04-01,Retail,EUR,save10,Shipped
210,1593,2024-03-25,Retail,USD,SAVE10,Cancelled
211,940,2025-03-11,Mobile,USD,SUMMER,Shipped
212,3972,2025-06-13,Retail,USD,SAVE10,Pending
213,3586,2024-09-22,Online,EUR,Discount20,Cancelled
214,1322,2025-07-03,Online,USD,,Completed
215,1452,2024-03-17,Retail,USD,,Shipped
216,1380,2024-07-29,Online,GBP,Discount20,Completed
217,2239,2024-01-18,Online,EUR,SUMMER,Pending
218,1775,2024-08-08,Mobile,USD,save10,Pending
219,3622,2024-04-16,Mobile,USD,Discount20,Completed
220,3200,2024-08-31,Mobile,EUR,WELCOME,Completed
221,4901,2025-08-10,Online,USD,Discount20,Shipped
222,1653,2024-11-05,Online,EUR,DISCOUNT20,Pending
223,749,2024-02-02,Online,EUR,SAVE10,Completed
224,2762,2023-10-06,Online,GBP,save10,Completed
225,1807,2024-09-22,Online,GBP,DISCOUNT20,Pending
226,361,2024-07-05,Retail,GBP,SAVE10,Cancelled
227,2644,2023-12-22,Mobile,GBP,DISCOUNT20,Pending
228,4438,2024-09-04,Retail,EUR,SAVE10,Pending
229,1752,2025-01-28,Online,EUR,SUMMER,Pending
230,123,2025-03-03,Retail,GBP,SUMMER,Completed
231,3189,2024-07-27,Online,EUR,DISCOUNT20,Completed
232,2282,2023-09-11,Mobile,GBP,SUMMER,Completed
233,552,2024-05-12,Online,EUR,SUMMER,Shipped
234,835,2024-08-18,Mobile,GBP,Discount20,Pending
235,2064,2024-12-08,Online,GBP,SUMMER,Shipped
236,1089,2025-06-08,Retail,USD,save10,Cancelled
237,3950,2024-04-04,Online,EUR,SAVE10,Shipped
238,3133,2025-05-07,Mobile,GBP,save10,Pending
239,4125,2025-06-03,Mobile,GBP,SAVE10,Pending
240,174,2025-09-04,Mobile,USD,SUMMER,Pending
241,3511,2025-02-13,Online,GBP,SAVE10,Completed
242,1127,2024-10-28,Retail,EUR,SUMMER,Pending
243,1243,2024-07-25,Retail,USD,save10,Completed
244,1951,2024-10-31,Mobile,GBP,WELCOME,Cancelled
245,1100,2025-02-12,Retail,EUR,save10,Completed
246,4267,2024-09-03,Retail,GBP,Discount20,Cancelled
247,195,2025-01-26,Online,GBP,SUMMER,Cancelled
248,1985,2025-08-23,Online,GBP,SAVE10,Pending
249,1823,2025-06-06,Mobile,EUR,,Cancelled
250,1504,2025-07-25,Retail,GBP,SAVE10,Completed
251,4028,2024-10-27,Online,USD,SAVE10,Pending
252,1673,2025-06-10,Online,USD,DISCOUNT20,Pending
253,1936,2025-05-07,Mobile,USD,WELCOME,Shipped
254,2552,2025-02-12,Online,GBP,DISCOUNT20,Pending
255,3474,2024-04-18,Online,GBP,DISCOUNT20,Cancelled
256,2338,2024-05-24,Mobile,EUR,save10,Pending
257,2228,2024-10-02,Retail,USD,SUMMER,Shipped
258,3095,2025-09-01,Online,EUR,WELCOME,Shipped
259,4140,2025-08-15,Mobile,GBP,WELCOME,Pending
260,3949,2023-09-15,Online,EUR,WELCOME,Completed
261,2460,2025-07-25,Mobile,GBP,DISCOUNT20,Pending
262,2108,2024-11-13,Retail,EUR,SUMMER,Shipped
263,2321,2025-04-03,Retail,GBP,,Shipped
264,590,2024-12-20,Retail,USD,save10,Shipped
265,1604,2023-11-23,Online,USD,SAVE10,Completed
266,4102,2024-02-10,Mobile,GBP,SUMMER,Shipped
267,3315,2024-05-07,Retail,EUR,save10,Cancelled
268,3147,2024-08-17,Retail,EUR,save10,Completed
269,3349,2025-06-16,Online,USD,WELCOME,Pending
270,1592,2024-02-05,Retail,EUR,Discount20,Cancelled
271,4175,2024-04-04,Mobile,EUR,save10,Cancelled
272,473,2025-07-06,Mobile,EUR,WELCOME,Pending
273,1986,2025-02-08,Retail,USD,Discount20,Cancelled
274,232,2024-03-20,Mobile,GBP,save10,Pending
275,2141,2023-11-25,Mobile,EUR,save10,Pending
276,2084,2024-05-17,Online,GBP,,Pending
277,102,2024-07-28,Online,USD,save10,Shipped
278,3258,2024-08-25,Mobile,GBP,SAVE10,Pending
279,3465,2025-04-10,Online,EUR,SUMMER,Cancelled
280,4102,2024-12-07,Mobile,GBP,WELCOME,Cancelled
281,3372,2024-01-29,Mobile,USD,SAVE10,Cancelled
282,1170,2025-08-25,Retail,GBP,DISCOUNT20,Shipped
283,2524,2023-09-14,Online,USD,Discount20,Shipped
284,13,2025-02-06,Online,USD,Discount20,Shipped
285,4301,2025-03-08,Retail,GBP,SUMMER,Shipped
286,1398,2024-07-27,Online,EUR,DISCOUNT20,Pending
287,1623,2024-10-21,Retail,USD,,Completed
288,3692,2024-07-21,Mobile,USD,DISCOUNT20,Pending
289,484,2025-05-23,Mobile,USD,Discount20,Pending
290,2125,2024-07-14,Retail,EUR,save10,Completed
291,1361,2025-01-08,Online,EUR,SAVE10,Shipped
292,1022,2024-09-16,Retail,USD,SUMMER,Completed
293,4798,2024-03-07,Online,EUR,WELCOME,Completed
294,78,2025-04-15,Online,EUR,Discount20,Completed
295,4772,2025-08-12,Online,USD,DISCOUNT20,Completed
296,3078,2023-10-22,Mobile,GBP,Discount20,Cancelled
297,3981,2024-06-20,Retail,EUR,,Shipped
298,2758,2024-08-09,Retail,GBP,SUMMER,Cancelled
299,1963,2025-02-04,Retail,GBP,WELCOME,Shipped
300,469,2023-11-12,Retail,EUR,Discount20,Completed
301,26,2024-04-20,Retail,GBP,WELCOME,Pending
302,211,2025-02-26,Mobile,USD,Discount20,Cancelled
303,2037,2024-07-17,Retail,EUR,,Shipped
304,4219,2023-10-13,Retail,GBP,DISCOUNT20,Completed
305,2640,2023-12-30,Online,GBP,SUMMER,Completed
306,2667,2024-02-24,Mobile,EUR,DISCOUNT20,Shipped
307,3279,2024-06-05,Mobile,GBP,Discount20,Completed
308,2854,2025-06-26,Retail,EUR,save10,Completed
309,3153,2023-09-15,Retail,GBP,DISCOUNT20,Pending
310,4261,2024-10-16,Mobile,GBP,,Completed
311,1048,2025-02-14,Retail,USD,SUMMER,Shipped
312,1377,2024-09-15,Retail,USD,WELCOME,Pending
313,1994,2024-01-09,Online,USD,Discount20,Completed
314,865,2025-07-05,Retail,GBP,SAVE10,Pending
315,2675,2025-01-25,Retail,EUR,DISCOUNT20,Cancelled
316,3902,2025-03-02,Mobile,USD,save10,Pending
317,4379,2024-07-16,Mobile,GBP,WELCOME,Completed
318,2727,2024-12-13,Online,GBP,Discount20,Completed
319,2812,2024-12-25,Retail,GBP,save10,Shipped
320,4604,2024-02-22,Retail,USD,DISCOUNT20,Cancelled
321,948,2024-10-09,Retail,USD,SAVE10,Completed
322,2788,2024-11-09,Mobile,GBP,DISCOUNT20,Completed
323,4693,2024-12-28,Retail,USD,Discount20,Cancelled
324,3115,2024-08-22,Mobile,GBP,SAVE10,Cancelled
325,507,2025-01-21,Mobile,GBP,DISCOUNT20,Shipped
326,3471,2024-09-20,Retail,EUR,Discount20,Pending
327,4258,2025-02-15,Mobile,GBP,,Pending
328,874,2025-08-14,Retail,USD,,Shipped
329,2589,2025-08-25,Online,EUR,Discount20,Pending
330,4095,2025-03-06,Mobile,EUR,DISCOUNT20,Cancelled
331,1195,2024-04-29,Mobile,GBP,Discount20,Completed
332,4907,2024-08-18,Retail,EUR,,Completed
333,2241,2025-03-19,Mobile,GBP,WELCOME,Pending
334,4056,2024-02-03,Retail,GBP,WELCOME,Completed
335,2730,2023-11-07,Online,GBP,DISCOUNT20,Pending
336,431,2024-09-29,Online,EUR,save10,Shipped
337,2451,2024-03-29,Mobile,USD,SAVE10,Shipped
338,2765,2025-08-30,Retail,GBP,WELCOME,Cancelled
339,3207,2025-01-30,Retail,USD,,Cancelled
340,2314,2025-03-02,Mobile,USD,save10,Shipped
341,798,2024-03-09,Online,EUR,Discount20,Completed
342,2491,2025-05-30,Retail,GBP,DISCOUNT20,Pending
343,3620,2024-01-12,Mobile,EUR,SUMMER,Pending
344,1719,2023-11-03,Online,GBP,DISCOUNT20,Completed
345,2968,2025-06-23,Mobile,GBP,SAVE10,Pending
346,3085,2024-10-22,Retail,GBP,Discount20,Pending
347,462,2024-11-23,Online,EUR,WELCOME,Pending
348,430,2025-02-10,Online,GBP,save10,Cancelled
349,4862,2024-03-09,Retail,USD,save10,Shipped
350,2008,2024-08-04,Online,USD,DISCOUNT20,Shipped
351,4003,2024-04-26,Retail,GBP,,Pending
352,3076,2023-10-29,Mobile,GBP,save10,Completed
353,3799,2023-12-19,Mobile,EUR,SUMMER,Shipped
354,3010,2023-12-07,Online,USD,SAVE10,Completed
355,1000,2025-07-26,Retail,GBP,save10,Pending
356,189,2025-07-27,Mobile,GBP,,Shipped
357,2243,2023-11-01,Mobile,GBP,SAVE10,Pending
358,3146,2025-02-18,Retail,GBP,save10,Shipped
359,2445,2024-10-09,Mobile,USD,SAVE10,Cancelled
360,521,2024-06-27,Mobile,GBP,DISCOUNT20,Shipped
361,162,2024-09-29,Retail,GBP,Discount20,Shipped
362,524,2024-08-20,Mobile,GBP,,Completed
363,1700,2024-06-03,Mobile,USD,DISCOUNT20,Pending
364,44,2025-01-27,Mobile,EUR,Discount20,Cancelled
365,1008,2023-11-19,Online,USD,,Pending
366,1321,2025-08-11,Online,GBP,SUMMER,Completed
367,694,2024-03-16,Online,GBP,SUMMER,Cancelled
368,4460,2025-04-08,Online,EUR,save10,Completed
369,2035,2024-12-02,Retail,USD,,Cancelled
370,4376,2024-07-13,Retail,USD,,Shipped
371,2564,2025-02-28,Mobile,EUR,,Pending
372,812,2024-12-18,Mobile,USD,DISCOUNT20,Completed
373,1541,2024-04-01,Online,EUR,Discount20,Pending
374,1100,2024-04-13,Mobile,GBP,DISCOUNT20,Cancelled
375,2273,2025-08-01,Online,GBP,,Shipped
376,610,2025-08-15,Mobile,EUR,SUMMER,Shipped
377,1338,2024-10-07,Retail,EUR,SAVE10,Cancelled
378,3485,2025-09-03,Mobile,USD,,Pending
379,579,2024-01-15,Mobile,GBP,SUMMER,Pending
380,3049,2024-12-21,Mobile,GBP,save10,Pending
381,3439,2024-07-11,Online,EUR,Discount20,Shipped
382,3105,2023-10-09,Online,GBP,DISCOUNT20,Completed
383,2213,2023-12-28,Online,GBP,SAVE10,Shipped
384,541,2024-02-17,Retail,GBP,SAVE10,Cancelled
385,2733,2025-04-25,Retail,USD,Discount20,Pending
386,2242,2024-10-30,Online,USD,WELCOME,Pending
387,3102,2024-07-29,Online,USD,DISCOUNT20,Cancelled
388,4824,2023-10-30,Retail,USD,,Cancelled
389,4688,2025-06-12,Retail,GBP,SUMMER,Completed
390,393,2024-12-30,Online,EUR,Discount20,Shipped
391,1481,2025-07-28,Retail,GBP,save10,Shipped
392,3907,2024-03-13,Mobile,USD,SUMMER,Completed
393,4208,2025-01-17,Mobile,USD,save10,Pending
394,1169,2024-04-17,Retail,GBP,save10,Cancelled
395,434,2025-03-15,Mobile,GBP,SUMMER,Pending
396,4987,2024-04-08,Retail,GBP,WELCOME,Pending
397,3596,2025-07-09,Retail,EUR,,Cancelled
398,2260,2024-04-28,Retail,GBP,save10,Pending
399,2501,2023-09-16,Mobile,USD,SUMMER,Shipped
400,2562,2023-11-07,Online,GBP,SAVE10,Completed
401,1967,2025-08-31,Online,USD,,Completed
402,693,2024-04-12,Mobile,EUR,,Shipped
403,88,2023-11-27,Retail,GBP,,Pending
404,3930,2024-09-05,Retail,GBP,save10,Completed
405,3322,2025-04-18,Online,GBP,DISCOUNT20,Completed
406,3482,2024-01-11,Mobile,GBP,save10,Cancelled
407,2001,2025-02-16,Mobile,GBP,Discount20,Completed
408,4976,2023-10-30,Retail,USD,save10,Pending
409,1433,2024-03-29,Online,EUR,Discount20,Pending
410,4209,2024-11-22,Retail,USD,WELCOME,Shipped
411,3106,2025-06-16,Online,EUR,SAVE10,Cancelled
412,2047,2024-12-31,Mobile,USD,SUMMER,Cancelled
413,3958,2024-09-12,Retail,EUR,DISCOUNT20,Completed
414,4660,2024-06-26,Retail,USD,SUMMER,Completed
415,3794,2024-09-12,Mobile,EUR,SAVE10,Cancelled
416,49,2025-01-27,Mobile,EUR,SUMMER,Cancelled
417,2900,2024-06-22,Online,USD,SUMMER,Pending
418,3294,2025-09-03,Retail,USD,SAVE10,Shipped
419,4031,2025-06-06,Online,USD,,Pending
420,3365,2023-12-28,Online,EUR,SAVE10,Pending
421,2050,2024-04-02,Online,EUR,WELCOME,Cancelled
422,2452,2024-10-25,Retail,EUR,DISCOUNT20,Cancelled
423,891,2024-02-09,Retail,GBP,Discount20,Shipped
424,1326,2025-02-08,Online,EUR,save10,Shipped
425,48,2024-12-12,Retail,GBP,DISCOUNT20,Completed
426,1553,2023-11-20,Retail,USD,DISCOUNT20,Shipped
427,3450,2024-06-19,Mobile,EUR,SAVE10,Pending
428,1631,2024-11-23,Retail,GBP,SUMMER,Completed
429,3450,2023-12-29,Retail,GBP,WELCOME,Pending
430,2662,2024-12-05,Retail,GBP,save10,Shipped
431,1077,2024-02-26,Online,USD,Discount20,Completed
432,1034,2024-05-31,Online,EUR,,Completed
433,1938,2024-05-08,Online,GBP,Discount20,Cancelled
434,3520,2024-07-28,Mobile,GBP,SAVE10,Shipped
435,3934,2024-02-19,Retail,EUR,WELCOME,Completed
436,3514,2024-12-31,Online,GBP,DISCOUNT20,Pending
437,2044,2024-09-08,Retail,USD,Discount20,Cancelled
438,2027,2025-05-19,Mobile,EUR,DISCOUNT20,Shipped
439,845,2023-11-13,Mobile,GBP,,Pending
440,1546,2024-02-17,Mobile,GBP,save10,Pending
441,1880,2024-03-12,Online,USD,WELCOME,Completed
442,2244,2024-10-28,Online,USD,WELCOME,Completed
443,1636,2025-08-07,Online,USD,WELCOME,Shipped
444,4301,2023-09-28,Retail,GBP,save10,Pending
445,1817,2025-01-07,Retail,EUR,WELCOME,Completed
446,4177,2024-02-10,Retail,GBP,SAVE10,Cancelled
447,902,2025-05-24,Retail,EUR,SUMMER,Cancelled
448,3425,2025-04-16,Online,EUR,SAVE10,Pending
449,335,2023-10-26,Online,USD,save10,Cancelled
450,1737,2025-06-02,Retail,EUR,SUMMER,Completed
451,3530,2024-05-08,Online,EUR,WELCOME,Cancelled
452,2739,2024-05-27,Retail,USD,SAVE10,Completed
453,4521,2024-08-11,Online,EUR,SUMMER,Cancelled
454,4825,2025-07-17,Mobile,GBP,SUMMER,Pending
455,2261,2023-10-01,Online,GBP,WELCOME,Completed
456,872,2024-10-10,Online,GBP,save10,Completed
457,337,2025-06-08,Mobile,GBP,Discount20,Pending
458,1581,2024-08-29,Mobile,EUR,SAVE10,Completed
459,4478,2024-07-11,Mobile,EUR,SUMMER,Shipped
460,1655,2025-01-13,Mobile,GBP,DISCOUNT20,Completed
461,1048,2025-09-05,Online,EUR,,Cancelled
462,4591,2024-10-13,Retail,EUR,WELCOME,Completed
463,3573,2024-05-31,Online,EUR,WELCOME,Completed
464,1368,2024-12-04,Mobile,EUR,save10,Pending
465,2373,2025-05-30,Online,GBP,SAVE10,Pending
466,3257,2023-11-01,Retail,GBP,,Completed
467,1356,2025-01-03,Retail,GBP,WELCOME,Shipped
468,3284,2024-09-03,Mobile,EUR,DISCOUNT20,Pending
469,30,2025-07-06,Online,GBP,DISCOUNT20,Completed
470,4201,2024-02-05,Retail,GBP,save10,Cancelled
471,2486,2024-10-19,Online,EUR,save10,Cancelled
472,4524,2025-01-25,Online,USD,DISCOUNT20,Completed
473,4371,2025-06-13,Online,EUR,SAVE10,Pending
474,2276,2024-05-14,Online,EUR,Discount20,Completed
